pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_eqt,sy_dist,st_teff,st_mass,st_rad,DBSCAN_Cluster,Cluster_Name,LOF_Score,LOF_Label,Potential_Outlier,Outlier_Status
HD 2039 b,HD 2039,Radial Velocity,2002,1120.0,12.7,1.14,1999.1507,6.29,210.84,85.6922,5945.0,1.23,1.19,0,Cluster 0,1.0236143914133415,1,False,Normal
KOI-142 b,KOI-142,Transit,2013,10.91647,3.438,0.30671782,9.5,0.03,758.0,376.863,5466.0,0.99,0.897,1,Cluster 1,1.1778966445764993,1,False,Normal
HAT-P-8 b,HAT-P-8,Transit,2008,3.07634,15.6926,1.4,406.8224,1.28,1713.0,211.553,6200.0,1.27,1.57,0,Cluster 0,0.9706937065056558,1,False,Normal
K2-43 b,K2-43,Transit,2016,3.471149,4.51,0.40235525,18.5,0.0583,939.3,182.536,3840.6,0.571,0.542,1,Cluster 1,1.3080589455970784,1,False,Normal
Kepler-1753 b,Kepler-1753,Transit,2021,16.00460052,2.22678077,0.19866042,5.59,0.0176,583.0,707.688,5180.0,0.86,0.769,1,Cluster 1,0.9880749153081736,1,False,Normal
Kepler-1176 b,Kepler-1176,Transit,2016,24.1738579,2.45,0.21857436,6.57,0.0207,595.0,864.699,5844.0,1.01,1.02,1,Cluster 1,0.9794531475245314,1,False,Normal
K2-126 b,K2-126,Transit,2017,7.385655,1.97,0.17575163,4.54,0.0143,601.0,102.953,4339.0,0.69,0.65,1,Cluster 1,0.9730122241414282,1,False,Normal
Kepler-1263 b,Kepler-1263,Transit,2016,4.55139967,1.14,0.10170399,1.55,0.00489,907.0,664.83,5213.0,0.84,0.8,1,Cluster 1,0.9985954014174961,1,False,Normal
Kepler-1416 b,Kepler-1416,Transit,2016,1.49514952,0.88,0.07850834,0.615,0.00193,1870.0,949.59,6019.0,1.09,1.15,1,Cluster 1,1.0552828789278441,1,False,Normal
Kepler-1542 c,Kepler-1542,Transit,2016,2.89223021,0.65,0.05798912,0.208,0.000653,1287.0,399.114,5564.0,0.94,0.99,1,Cluster 1,1.0396648081636648,1,False,Normal
K2-85 b,K2-85,Transit,2016,0.68453862616,1.4,0.12489985,3.2,0.01006833,1355.0,97.2179,4232.0,0.7,0.71,1,Cluster 1,1.240099106544117,1,False,Normal
Kepler-368 c,Kepler-368,Transit,2014,72.379334,3.88,0.346,14.3,0.0451,575.0,770.978,5502.0,1.165,2.019,1,Cluster 1,1.7565548575371932,-1,True,Potential Outlier
K2-123 b,K2-123,Transit,2017,30.951524,2.76,0.24623071,8.05,0.0253,338.0,161.555,4035.0,0.62,0.59,1,Cluster 1,0.9966388187166558,1,False,Normal
Kepler-770 b,Kepler-770,Transit,2016,18.92540274,2.3,0.20519226,5.9,0.0186,1171.0,930.457,5598.0,0.94,0.92,1,Cluster 1,1.008496946974754,1,False,Normal
Kepler-1399 b,Kepler-1399,Transit,2016,1.638653058,1.25,0.11151753,2.1,0.0066,1610.0,1385.7,5735.0,0.97,0.96,1,Cluster 1,0.9919899825556662,1,False,Normal
Kepler-723 b,Kepler-723,Transit,2016,4.082275068,12.19,1.08751896,,,1016.0,1071.8,5539.0,0.92,0.89,0,Cluster 0,0.9849371361720453,1,False,Normal
K2-107 b,K2-107,Transit,2017,3.313959,15.98,1.42564011,266.9772,0.84,1649.0,685.2,6061.0,1.3,1.81,0,Cluster 0,0.9902025755008947,1,False,Normal
K2-45 b,K2-45,Transit,2016,1.7292684,6.71,0.5986261,36.4,0.114,1073.56,495.317,4103.0,0.503,0.445,1,Cluster 1,1.6783359404849332,-1,True,Potential Outlier
K2-365 b,K2-365,Transit,2022,23.448172,2.906,0.2592564,8.78,0.0276,,187.222,5561.0,0.823,1.051,1,Cluster 1,1.139848556559762,1,False,Normal
K2-127 b,K2-127,Transit,2017,3.588163,8.37,0.74672138,52.9,0.167,809.0,709.999,4575.0,0.72,0.66,0,Cluster 0,1.030980368028459,1,False,Normal
K2-195 b,K2-195,Transit,2018,15.852975,3.13,0.2792399,9.96,0.0313,720.0,315.014,5713.0,0.94,0.99,1,Cluster 1,1.011363666343303,1,False,Normal
K2-80 c,K2-80,Transit,2016,5.605,1.47,0.13114462,2.76,0.00869,1002.42,200.802,5441.0,0.9,0.87,1,Cluster 1,0.9781713881930527,1,False,Normal
K2-229 c,K2-229,Transit,2018,8.32727,2.03,0.18110447,7.0,0.02202446,750.0,102.564,5315.0,0.87,0.79,1,Cluster 1,1.1290162619647885,1,False,Normal
HAT-P-3 b,HAT-P-3,Transit,2007,2.8997,10.53646,0.94,206.5895,0.65,1189.0,134.554,5185.0,1.06,0.87,0,Cluster 0,1.0547908568440165,1,False,Normal
WASP-32 b,WASP-32,Transit,2010,2.71866,10.76064,0.96,835.8929,2.63,1388.0,275.994,6140.0,0.72,0.95,0,Cluster 0,1.9477685094501418,-1,True,Potential Outlier
WASP-24 b,WASP-24,Transit,2010,2.34121,15.46842,1.38,394.1092,1.24,1772.0,322.114,6075.0,1.43,1.42,0,Cluster 0,1.0279679461172728,1,False,Normal
Kepler-65 c,Kepler-65,Transit,2012,5.859944,2.58,0.23,5.4,0.017,1246.0,303.728,6211.0,1.25,1.41,1,Cluster 1,1.022027553020167,1,False,Normal
TrES-2 b,TrES-2,Transit,2006,2.47063,15.24424,1.36,473.5667,1.49,1466.0,215.32,5850.0,1.36,1.12,0,Cluster 0,1.164814930532818,1,False,Normal
Kepler-939 b,Kepler-939,Transit,2016,14.878296,1.75,0.15612454,3.71,0.0117,692.0,2093.62,5471.0,0.88,0.85,1,Cluster 1,1.0477402490596108,1,False,Normal
