Planet_Name,DBSCAN_Cluster,LOF_Score
COCONUTS-2 b,0,18.869471981896957
KOI-2513.01,2,14.087861320590289
UCAC4 328-061594 b,0,11.196144918896708
GJ 900 b,0,7.6278580486632395
DP Leo b,0,7.118978088026402
Kepler-245 e,2,6.889255645353588
Kepler-37 e,2,6.711203496431904
HD 100546 b,0,6.5488792569379894
mu2 Sco b,3,5.727469730428956
Kepler-80 f,2,5.510111894383688
V2376 Ori b,0,5.244616167677753
Kepler-297 d,0,4.966041225806186
2MASS J21252752-8138278 b,0,4.900763317534677
KIC 10001893 b,7,4.742738176672605
KIC 10001893 c,7,4.742738176672298
KIC 10001893 d,7,4.742738176670892
HD 17092 b,3,4.679426292766021
Kepler-238 b,2,4.262493993778339
UCAC3 113-933 b,0,4.096004621257338
KOI-55 b,7,4.046800156643352
